"part","term","statistic","只用父亲教育","使用父母教育"
"estimates","(Intercept)","estimate","9.905***","9.121***"
"estimates","(Intercept)","({std.error})","(0.421)","(0.467)"
"estimates","fatheduc","estimate","0.254***","0.166***"
"estimates","fatheduc","({std.error})","(0.030)","(0.034)"
"estimates","exper","estimate","0.043","0.039"
"estimates","exper","({std.error})","(0.042)","(0.041)"
"estimates","expersq","estimate","-0.001","-0.001"
"estimates","expersq","({std.error})","(0.001)","(0.001)"
"estimates","city","estimate","0.365+","0.440*"
"estimates","city","({std.error})","(0.216)","(0.213)"
"estimates","kidslt6","estimate","0.674**","0.649**"
"estimates","kidslt6","({std.error})","(0.246)","(0.240)"
"estimates","kidsge6","estimate","-0.117","-0.141+"
"estimates","kidsge6","({std.error})","(0.082)","(0.078)"
"estimates","motheduc","estimate","","0.166***"
"estimates","motheduc","({std.error})","","(0.035)"
"gof","Num.Obs.","","428","428"
"gof","R2","","0.198","0.238"
"gof","Std.Errors","","Heteroskedasticity-robust","Heteroskedasticity-robust"
