"part","term","statistic","OLS 控制变量","IV：父亲教育","IV：父母教育"
"estimates","(Intercept)","estimate","-0.498*","0.064","0.137"
"estimates","(Intercept)","({std.error})","(0.218)","(0.488)","(0.452)"
"estimates","educ","estimate","0.106***","",""
"estimates","educ","({std.error})","(0.014)","",""
"estimates","exper","estimate","0.040*","0.042**","0.042**"
"estimates","exper","({std.error})","(0.016)","(0.016)","(0.016)"
"estimates","expersq","estimate","-0.001+","-0.001*","-0.001*"
"estimates","expersq","({std.error})","(0.000)","(0.000)","(0.000)"
"estimates","city","estimate","0.052","0.084","0.088"
"estimates","city","({std.error})","(0.066)","(0.070)","(0.069)"
"estimates","kidslt6","estimate","-0.053","-0.017","-0.013"
"estimates","kidslt6","({std.error})","(0.100)","(0.100)","(0.101)"
"estimates","kidsge6","estimate","-0.011","-0.019","-0.020"
"estimates","kidsge6","({std.error})","(0.028)","(0.028)","(0.028)"
"estimates","fit_educ","estimate","","0.060","0.054"
"estimates","fit_educ","({std.error})","","(0.038)","(0.035)"
"gof","Num.Obs.","","428","428","428"
"gof","R2","","0.159","0.058","0.058"
"gof","Std.Errors","","Heteroskedasticity-robust","Heteroskedasticity-robust","Heteroskedasticity-robust"
