"part","term","statistic","OLS：只放教育","OLS：加入经验/家庭变量","OLS：再加入收入/丈夫教育"
"estimates","(Intercept)","estimate","-0.185","-0.498*","-0.467*"
"estimates","(Intercept)","({std.error})","(0.171)","(0.218)","(0.223)"
"estimates","educ","estimate","0.109***","0.106***","0.114***"
"estimates","educ","({std.error})","(0.013)","(0.014)","(0.016)"
"estimates","exper","estimate","","0.040*","0.041**"
"estimates","exper","({std.error})","","(0.016)","(0.016)"
"estimates","expersq","estimate","","-0.001+","-0.001+"
"estimates","expersq","({std.error})","","(0.000)","(0.000)"
"estimates","city","estimate","","0.052","0.043"
"estimates","city","({std.error})","","(0.066)","(0.068)"
"estimates","kidslt6","estimate","","-0.053","-0.035"
"estimates","kidslt6","({std.error})","","(0.100)","(0.100)"
"estimates","kidsge6","estimate","","-0.011","-0.012"
"estimates","kidsge6","({std.error})","","(0.028)","(0.028)"
"estimates","nwifeinc","estimate","","","0.006*"
"estimates","nwifeinc","({std.error})","","","(0.003)"
"estimates","huseduc","estimate","","","-0.019"
"estimates","huseduc","({std.error})","","","(0.012)"
"gof","Num.Obs.","","428","428","428"
"gof","R2","","0.118","0.159","0.168"
"gof","Std.Errors","","Heteroskedasticity-robust","Heteroskedasticity-robust","Heteroskedasticity-robust"
